label,start_datetime,end_datetime,room_capacity,room_name,course_name,course_code
projet,2024-03-20 12:00:00,2024-03-20 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-03-27 12:00:00,2024-03-27 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-03-27 12:00:00,2024-03-27 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
cours,2024-04-24 10:00:00,2024-04-24 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-04-24 12:00:00,2024-04-24 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
cours,2024-05-01 10:00:00,2024-05-01 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
cours,2024-05-08 10:00:00,2024-05-08 12:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-05-08 12:00:00,2024-05-08 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
cours,2024-05-15 10:00:00,2024-05-15 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
projet,2024-05-29 12:00:00,2024-05-29 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
projet,2024-05-29 12:00:00,2024-05-29 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
exercice,2024-03-01 16:00:00,2024-03-01 18:00:00,60.0,AAC120,UE M : Constructing materials,AR-519
exercice,2024-04-26 16:00:00,2024-04-26 18:00:00,60.0,AAC120,UE M : Constructing materials,AR-519
exercice,2024-05-10 16:00:00,2024-05-10 18:00:00,60.0,AAC120,UE M : Constructing materials,AR-519
exercice,2024-02-22 14:00:00,2024-02-22 16:00:00,86.0,INM202,Signal processing for communications,COM-303
cours,2024-03-05 10:00:00,2024-03-05 12:00:00,190.0,CM13,Signal processing for communications,COM-303
cours,2024-03-25 13:00:00,2024-03-25 15:00:00,144.0,AAC231,Signal processing for communications,COM-303
cours,2024-04-09 10:00:00,2024-04-09 12:00:00,190.0,CM13,Signal processing for communications,COM-303
cours,2024-05-13 13:00:00,2024-05-13 15:00:00,144.0,AAC231,Signal processing for communications,COM-303
exercice,2024-05-16 14:00:00,2024-05-16 16:00:00,36.0,INM201,Signal processing for communications,COM-303
cours,2024-05-21 10:00:00,2024-05-21 12:00:00,190.0,CM13,Signal processing for communications,COM-303
exercice,2024-05-30 14:00:00,2024-05-30 16:00:00,86.0,INM202,Signal processing for communications,COM-303
cours,2024-04-19 15:00:00,2024-04-19 17:00:00,68.0,CHB330,Eléments de cheminformatique,CH-352
exercice,2024-05-10 17:00:00,2024-05-10 18:00:00,68.0,CHB330,Eléments de cheminformatique,CH-352
cours,2024-03-12 13:00:00,2024-03-12 15:00:00,48.0,ELG120,"Science, technologie et société D",HUM-332
cours,2024-04-30 13:00:00,2024-04-30 15:00:00,48.0,ELG120,"Science, technologie et société D",HUM-332
exercice,2024-02-22 09:00:00,2024-02-22 11:00:00,78.0,ELD020,Synthetic biology,BIOENG-320
exercice,2024-03-28 09:00:00,2024-03-28 11:00:00,78.0,ELD020,Synthetic biology,BIOENG-320
cours,2024-04-08 13:00:00,2024-04-08 15:00:00,112.0,SG0211,Synthetic biology,BIOENG-320
exercice,2024-05-02 09:00:00,2024-05-02 11:00:00,78.0,ELD020,Synthetic biology,BIOENG-320
exercice,2024-05-16 09:00:00,2024-05-16 11:00:00,78.0,ELD020,Synthetic biology,BIOENG-320
cours,2024-03-04 16:00:00,2024-03-04 18:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
cours,2024-04-29 16:00:00,2024-04-29 18:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
cours,2024-02-19 16:00:00,2024-02-19 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
exercice,2024-03-01 13:00:00,2024-03-01 15:00:00,114.0,INF1,Introduction to econometrics,MGT-581
cours,2024-03-25 16:00:00,2024-03-25 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
cours,2024-04-15 16:00:00,2024-04-15 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
cours,2024-04-22 16:00:00,2024-04-22 18:00:00,72.0,BS270,Introduction to econometrics,MGT-581
exercice,2024-05-31 13:00:00,2024-05-31 15:00:00,114.0,INF1,Introduction to econometrics,MGT-581
projet,2024-02-28 16:00:00,2024-02-28 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
projet,2024-04-17 16:00:00,2024-04-17 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
cours,2024-04-15 14:00:00,2024-04-15 16:00:00,68.0,CHB330,Chemistry of f elements,CH-427
cours,2024-05-27 14:00:00,2024-05-27 16:00:00,68.0,CHB330,Chemistry of f elements,CH-427
cours,2024-02-23 13:00:00,2024-02-23 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-03-08 14:00:00,2024-03-08 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-03-20 13:00:00,2024-03-20 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-04-26 14:00:00,2024-04-26 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-05-08 13:00:00,2024-05-08 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-05-24 13:00:00,2024-05-24 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-03-27 14:00:00,2024-03-27 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
exercice,2024-02-20 13:00:00,2024-02-20 15:00:00,49.0,CM1104,Analysis IV,MATH-207(c)
exercice,2024-02-27 13:00:00,2024-02-27 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
exercice,2024-03-05 13:00:00,2024-03-05 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
exercice,2024-03-26 13:00:00,2024-03-26 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
exercice,2024-04-16 13:00:00,2024-04-16 15:00:00,48.0,CM010,Analysis IV,MATH-207(c)
exercice,2024-04-30 13:00:00,2024-04-30 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
exercice,2024-05-07 13:00:00,2024-05-07 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
exercice,2024-05-21 13:00:00,2024-05-21 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
exercice,2024-05-28 13:00:00,2024-05-28 15:00:00,48.0,CM010,Analysis IV,MATH-207(c)
projet,2024-02-28 12:00:00,2024-02-28 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
